ChEMBL_ID,canonical_smiles,target_chembl_id,standard_type,standard_value,standard_units,assay_description
CHEMBL5414751,CCOC(=O)C(c1ccccc1)N1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,33300.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL1979324,COc1ccccc1N1C(=O)CS(=O)(=O)C1c1cccc(Oc2ccccc2)c1,CHEMBL392,GI50,18923.44,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1979454,COc1ccc(N2C(=O)/C(=C\c3cc(OC)c(OC)c(OC)c3)SC2c2ccccc2)cc1,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1969189,O=C1CSC2(CC(/C=C/c3cccc(Br)c3)=NN2c2cccc(S(=O)(=O)O)c2)N1c1nc2ccccc2s1,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5396221,O=C(CN1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O)N1CCOCC1,CHEMBL392,GI50,49400.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL5411582,CCOC(=O)C(C1CC1)N1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,28100.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL5396755,CCOC(=O)C(C)N1C(=O)S/C(=C\c2ccc(O)nc2)C1=O,CHEMBL392,GI50,100000.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL4285484,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S,CHEMBL392,IC50,27310.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL2145110,COc1ccc(C2SCC(=O)N2c2ccccc2)cc1,CHEMBL392,Inhibition,-4.3,%,Cytotoxicity against human A549 cells at 30 ug/mL by MTT assay
CHEMBL2145110,COc1ccc(C2SCC(=O)N2c2ccccc2)cc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 10 ug/mL by MTT assay
CHEMBL2145110,COc1ccc(C2SCC(=O)N2c2ccccc2)cc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 3 ug/mL by MTT assay
CHEMBL2145110,COc1ccc(C2SCC(=O)N2c2ccccc2)cc1,CHEMBL392,GI50,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 48 and 72 hrs by MTT assay
CHEMBL2145110,COc1ccc(C2SCC(=O)N2c2ccccc2)cc1,CHEMBL392,GI90,100.0,ug ml-1,Cytotoxicity against human A549 cells after 48 and 72 hrs by MTT assay
CHEMBL3780220,O=C1CSC(c2ccc(F)cc2)N1c1ccccc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 30 ug/mL by MTT assay
CHEMBL3780220,O=C1CSC(c2ccc(F)cc2)N1c1ccccc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 10 ug/mL by MTT assay
CHEMBL3780220,O=C1CSC(c2ccc(F)cc2)N1c1ccccc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 3 ug/mL by MTT assay
CHEMBL3780220,O=C1CSC(c2ccc(F)cc2)N1c1ccccc1,CHEMBL392,GI50,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 48 and 72 hrs by MTT assay
CHEMBL3780220,O=C1CSC(c2ccc(F)cc2)N1c1ccccc1,CHEMBL392,GI90,100.0,ug ml-1,Cytotoxicity against human A549 cells after 48 and 72 hrs by MTT assay
CHEMBL1978484,COc1cc(/C=C2\C(=O)N(Cc3ccccc3)C(c3ccccc3)S2(=O)=O)cc(OC)c1OC,CHEMBL392,GI50,29853.83,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5190348,O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,CHEMBL392,IC50,26880.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL5172244,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,CHEMBL392,IC50,3730.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL2316329,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)N(CC(=O)O)C1=O,CHEMBL392,IC50,50000.0,nM,Anticancer activity against human A549 cells assessed as cell viability after 72 hrs by MTT reduction assay
CHEMBL5185291,COc1ccc(CC/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,CHEMBL392,IC50,15960.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL5398119,O=C(CN1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O)OCc1ccccc1,CHEMBL392,GI50,,,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL5435189,O=C(CN1C(=O)S/C(=C\c2cc(Cl)c(O)c(Cl)c2)C1=O)N1CCOCC1,CHEMBL392,GI50,100000.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL3781983,Cc1ccc(N2C(=O)CSC2c2ccccc2)cc1,CHEMBL392,Inhibition,-15.9,%,Cytotoxicity against human A549 cells at 30 ug/mL by MTT assay
CHEMBL3781983,Cc1ccc(N2C(=O)CSC2c2ccccc2)cc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 10 ug/mL by MTT assay
CHEMBL3781983,Cc1ccc(N2C(=O)CSC2c2ccccc2)cc1,CHEMBL392,Inhibition,0.0,%,Cytotoxicity against human A549 cells at 3 ug/mL by MTT assay
CHEMBL2296536,COc1ccc(C(=O)Nc2nc(C)c(C(=O)N/N=C3\S/C(=C\c4ccccc4OC)C(=O)N3c3ccccc3)s2)cc1,CHEMBL392,Activity,,,Cytotoxicity against Homo sapiens (human) A549 cells by SRB assay
CHEMBL4747199,O=C(COc1ccc(/C=C2\SC(=O)NC2=O)cc1)Nc1c(Cl)cccc1Cl,CHEMBL392,GI50,,,Antiproliferative activity against human A549 cells assessed as cell growth inhibition
CHEMBL1964856,CC1S/C(=N\N=C2/C(=O)Nc3ccc(Br)cc32)N(C2CCCCC2)C1=O,CHEMBL392,GI50,3411.93,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL363555,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,CHEMBL392,IC50,25000.0,nM,Inhibitory concentration against growth of A549 lung carcinoma cell
CHEMBL5186738,C=CCOc1ccccc1/C=C1\SC(=S)N(C2CC(=O)N(c3ccc(Cl)cc3)C2=O)C1=O,CHEMBL392,GI50,100000.0,nM,Anticancer activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by MTT assay
CHEMBL4292926,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2)SC1=S,CHEMBL392,IC50,8760.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,CHEMBL392,IC50,950.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability by MTT assay
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,CHEMBL392,IC50,950.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell growth measured after 48 hrs by MTT assay
CHEMBL4283203,COc1ccc2nc(/C=C3\SC(=S)N(CC(=O)O)C3=O)n(Cc3ccc(C)cc3)c2c1,CHEMBL392,IC50,23610.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL2000533,O=C1CSC(c2cccc([N+](=O)[O-])c2)N1c1ccc(-c2ccc(-n3c(-c4ccccc4)nc4ccccc4c3=O)cc2)cc1,CHEMBL392,GI50,34593.94,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5189347,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6cccc(Cl)c6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,CHEMBL392,IC50,480.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay
CHEMBL2263187,NC(=O)c1ccccc1NC(=O)CN1C(=O)CSC1=O,CHEMBL392,CC50,200.0,ug.mL-1,Cytotoxicity against Homo sapiens (human) A549 cells after 3 days by SRB assay
CHEMBL3792481,Cc1cnc(C(=O)NN2C(=O)CS[C@H]2c2ccc(N(C)C)cc2)cn1,CHEMBL392,MIC,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL3792481,Cc1cnc(C(=O)NN2C(=O)CS[C@H]2c2ccc(N(C)C)cc2)cn1,CHEMBL392,IC50,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL1982788,CCCCN1C(=O)CS/C1=N/Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1998175,COc1cccc(/C=C2\S/C(=N/Nc3nc(C)c(C)s3)NC2=O)c1O,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL4585340,CCN1CCN(CCCOc2cc3nccc(Oc4ccc(C5SCC(=O)N5NC(=O)Nc5ccc(F)cc5F)cc4F)c3cc2OC)CC1,CHEMBL392,IC50,1000.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay
CHEMBL5190529,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C6CCCCC6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,CHEMBL392,IC50,550.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay
CHEMBL1994909,O=C(Nc1ccc(N2C(=O)CSC2c2ccccc2O)cc1)c1ccc(N2C(=O)CSC2c2ccccc2O)cc1,CHEMBL392,GI50,40738.03,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL2000438,CC1SC2=NC3=C(c4ccccc4C3=O)C(c3ccc(Cl)cc3)N2C1=O,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1989459,O=C1CSC(c2ccccc2O)N1c1ccc(-n2c(-c3ccccc3)nc3ccccc3c2=O)cc1,CHEMBL392,GI50,38370.72,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL4442035,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccccc4)cc3)ccnc2cc1OCCCN1CCOCC1,CHEMBL392,IC50,8700.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay
CHEMBL1976231,Cc1nn(-c2ccccc2)c(C)c1/C=N/N=C1\SCC(=O)N1c1ccccc1,CHEMBL392,GI50,28575.91,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1971933,O=C(COc1ccc(OCC(=O)N2C(=O)CC/C2=N\c2ccc(Cl)cc2)cc1)N1C(=O)CS/C1=N\c1ccc(Cl)cc1,CHEMBL392,GI50,26424.09,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL2002097,COc1cccc(N2C(=O)CSC2c2cc(OC)c(OC)c(OC)c2)c1,CHEMBL392,GI50,37068.07,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL2003417,COc1cc(C2S/C(=C/c3ccccc3)C(=O)N2c2cc(Cl)ccc2Cl)cc(OC)c1OC,CHEMBL392,GI50,91833.26,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL4284355,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CCC(=O)O)C3=O)nc3ccccc32)cc1,CHEMBL392,IC50,8740.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4280021,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3cc(Cl)ccc32)cc1,CHEMBL392,IC50,38610.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL2263188,NC(=O)c1ccccc1NC(=O)CN1C(=O)S/C(=C/c2ccc(O)cc2)C1=O,CHEMBL392,CC50,170.0,ug.mL-1,Cytotoxicity against Homo sapiens (human) A549 cells after 3 days by SRB assay
CHEMBL3261548,O=C1CSC(c2cccc(Br)c2)N1c1nccs1,CHEMBL392,IC50,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay
CHEMBL5180384,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6cccc(Br)c6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,CHEMBL392,IC50,1060.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay
CHEMBL3794067,COc1ccc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)cc1OC,CHEMBL392,MIC,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL3794067,COc1ccc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)cc1OC,CHEMBL392,IC50,80.02,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL1988751,O=C(NN1C(=O)CSC1c1ccco1)c1ccncc1,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5281890,CCn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3cccc(Cl)c3)n2)c2ccccc21,CHEMBL392,IC50,26020.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay
CHEMBL4218483,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)NC4=O)ccc3[nH]2)cc1OC,CHEMBL392,IC50,1840.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay
CHEMBL3098830,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,CHEMBL392,IC50,100000.0,nM,Cytotoxicity against human A549 cells by MTT assay
CHEMBL4202950,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)c5ccccc5)C4=O)ccc3[nH]2)cc(OC)c1OC,CHEMBL392,IC50,880.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay
CHEMBL2260538,O=C(CC1SC(=O)NC1=O)Nc1nnc(C(F)(F)F)s1,CHEMBL392,IC50,60000.0,nM,Cytotoxicity against Homo sapiens (human) A549 cells after 24 hr by MTT assay
CHEMBL4289418,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(Cl)cc32)cc1,CHEMBL392,IC50,9970.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4211815,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCCC5)C4=O)ccc3[nH]2)cc(OC)c1OC,CHEMBL392,IC50,910.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition after 48 hrs by MTT assay
CHEMBL5185600,COc1cccc(/C=C2\SC(=O)N(CC(=O)N3CCN(C(=O)[C@]4(C)CC[C@]5(C)CC[C@]6(C)C7=CC=C8C(=CC(=O)C(O)=C8C)[C@]7(C)CC[C@@]6(C)[C@@H]5C4)CC3)C2=O)c1,CHEMBL392,IC50,360.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay
CHEMBL184267,O=C1NC(=O)/C(=C/c2cc([N+](=O)[O-])ccc2OCc2ccccc2)S1,CHEMBL392,GI50,14000.0,nM,Inhibition of human lung cancer cell line (A549) growth by 50% in sulforhodamine-B assay
CHEMBL1980673,COc1cc(C2SCC(=O)N2c2ccccn2)cc(OC)c1OC,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL4550253,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccccc4Cl)cc3)ccnc2cc1OCCCN1CCOCC1,CHEMBL392,IC50,8500.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay
CHEMBL4460608,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1,CHEMBL392,IC50,6700.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell proliferation measured after 72 hrs by MTT assay
CHEMBL181852,O=C1NC(=O)/C(=C/c2ccccc2OCc2ccccc2)S1,CHEMBL392,GI50,35000.0,nM,Inhibition of human lung cancer cell line (A549) growth by 50% in sulforhodamine-B assay
CHEMBL5205392,O=C1N/C(=N\Cc2ccc(Cl)cc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,CHEMBL392,IC50,100000.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL3098836,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,CHEMBL392,IC50,100000.0,nM,Cytotoxicity against human A549 cells by MTT assay
CHEMBL5393897,CCNC(=O)C(C)N1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,70900.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL4472209,CCN(CC)CCCOc1cc2nccc(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)c2cc1OC,CHEMBL392,IC50,450.0,nM,Antiproliferative activity against human A549 cells after 72 hrs by MTT assay
CHEMBL4276731,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2)SC1=S,CHEMBL392,IC50,9120.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL3088151,Cc1c(-c2csc(/N=C3\SCC(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,CHEMBL392,IC50,100000.0,nM,Cytotoxicity against human A549 cells after 72 hrs by SRB assay
CHEMBL1988497,CC(=O)Nc1ccc(N2C(=O)CS(=O)(=O)C2c2cccc(Oc3ccccc3)c2)cc1,CHEMBL392,GI50,20044.72,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5404219,CCOC(=O)C(C)N1C(=O)S/C(=C\c2cc(F)c(O)c(F)c2)C1=O,CHEMBL392,GI50,100000.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL3261549,O=C1CSC(c2cccc(Br)c2)N1c1ncccn1,CHEMBL392,IC50,50000.0,nM,Antiproliferative activity against human A549 cells after 48 hrs by sulforhodamine B assay
CHEMBL3793638,CCOc1cc([C@@H]2SCC(=O)N2NC(=O)c2cnc(C)cn2)ccc1O,CHEMBL392,MIC,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL3793638,CCOc1cc([C@@H]2SCC(=O)N2NC(=O)c2cnc(C)cn2)ccc1O,CHEMBL392,IC50,100.0,ug.mL-1,Cytotoxicity against human A549 cells after 3 days by MTT assay
CHEMBL1766989,O=C(COc1ccc(/C=C2\SC(=O)NC2=O)cc1)Nc1ccc(Cl)cc1,CHEMBL392,GI50,,,Antiproliferative activity against human A549 cells assessed as cell growth inhibition
CHEMBL5414610,CC(C(=O)N1CCC2(CC1)OCCO2)N1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,44100.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL5395726,CCOC(=O)CN1C(=O)SC(Cc2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,100000.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
CHEMBL2005590,CCC/N=C1\S/C(=C/c2ccc(OC)c(OC)c2)C(=O)N1c1ccccc1,CHEMBL392,GI50,42072.66,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL1982098,O=C1/C(=C\c2cccc(Oc3ccccc3)c2)S(=O)(=O)C(c2ccccc2)N1c1ccc(Cl)cc1,CHEMBL392,GI50,42854.85,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
